,precision,recall,f1-score,support
1,0.7017908538535338,0.8940020682523268,0.7863206637082771,63822.0
2,0.8117802039879444,0.5603687016905716,0.663042060645582,72579.0
3,0.7232628576469551,0.5616294469562041,0.632279790748191,43794.0
4,0.4761799246620873,0.8956032506772245,0.6217721518987341,14397.0
5,0.4610655737704918,1.0,0.6311360448807853,1800.0
accuracy,0.6976760764185914,0.6976760764185914,0.6976760764185914,0.6976760764185914
macro avg,0.6348158827842025,0.7823206935152653,0.666910142376314,196392.0
weighted avg,0.7284815333405585,0.6976760764185914,0.6929266305474925,196392.0
