,precision,recall,f1-score,support
1,0.7190967329394072,0.9159565000980407,0.8056756971900124,66299.0
2,0.7335071441351635,0.5062985179957658,0.5990835360061794,56680.0
3,0.7886444888808095,0.5708959315714442,0.6623325402984694,45595.0
4,0.5829299544419134,0.925572195535462,0.7153370749710642,17695.0
5,0.6741573033707865,1.0,0.8053691275167786,3300.0
accuracy,0.7128380695155854,0.7128380695155854,0.7128380695155854,0.7128380695155854
macro avg,0.699667124753616,0.7837446290401425,0.7175595951965008,189569.0
weighted avg,0.7266403754950683,0.7128380695155854,0.7009912364688212,189569.0
