,precision,recall,f1-score,support
1,0.6642016420738359,0.9463213520278783,0.7805516571305192,61123.0
2,0.8636002801774457,0.4993047962310506,0.6327656553387677,74079.0
3,0.7130280387659984,0.6486013593844635,0.6792904968871138,44579.0
5,0.6432934730295065,0.9819168173598554,0.7773279352226721,17696.0
accuracy,0.71461486654142,0.71461486654142,0.71461486654142,0.71461486654142
macro avg,0.7210308585116967,0.7690360812508119,0.7174839361447682,197477.0
weighted avg,0.7481501155204082,0.71461486654142,0.7019652522727221,197477.0
