real_time,Vind,Vktgs,wind_speed,wind_dir,gravi_fts,elev_stick,elron_stick,rudder_stick,elev_surf,ailrn_surf,ruddr_surf,"nwhel,steer",trim,flap,pitch,roll,hding,"   alpha,__deg ","   _beta,__deg ","   hpath,__deg ","   vpath,__deg ","   _slip,__deg ","   __mag,_comp ","   __lat,__deg ","   __lon,__deg ",toGoal,"   __alt,ftmsl ","   ___on,runwy ","   _dist,___ft ","   thro1,_part ","   power,_1,hp ",workload
136.5999999999975,-13.8570185728246,0.9144342344874539,5.148713128605665,60.0,32.14657,0.0,-0.02882241324223007,0.00267,6.300701119820611e-06,-0.02115502884532008,0.01409333096652494,0.02667,0.07,0.0,-0.5582233300792863,0.2992543436580633,62.5741077198964,-0.5465536194197258,1.037640587565844,69.49537677021894,-0.04342451406826766,-0.06083580899982036,70.60523091861909,35.48855,133.22708,0.3346527045224347,4.286231539007725,1.0,1.533105588884124,1.0,150.6170378982792,3
136.6999999999975,-13.7956103133822,1.01977907607966,5.148670451712066,60.0,32.14657,0.0,-0.02865,0.00267,0.001263608573108169,-0.02092438732815452,0.0147252232943223,0.02667,0.07,0.0,-0.5570659918025254,0.3134410443169669,62.29487046281995,-0.5551028511652318,0.6635649389557655,69.25183157544838,0.007185709160852167,-0.0597332917769713,70.29412110495211,35.48855,133.22708,0.3346527045224347,4.286219548287933,1.0,1.698979339078609,1.0,150.8638203492386,3
136.7999999999975,-13.72461430232748,1.125896627904294,5.148713779069765,60.0,32.14657,0.0,-0.02693982558146802,0.007246598837014812,0.002257790697651564,-0.01912529069774984,0.01992691860444136,0.07245749999805418,0.07,0.0,-0.5648621220927287,0.3249932558136975,61.99078825582191,-0.574158459301749,0.2856132267537302,68.94695950582245,0.05859101744068963,-0.06129017441853198,69.95610171512513,35.48855,133.22708,0.3346527045224347,4.286342936046506,1.0,1.881645959297523,1.0,151.0523400872052,3
136.8999999999975,-13.64874144205044,1.405705700797038,5.148784824797842,60.0,32.14657,0.0,-0.02612371967651628,0.01604979784341559,-0.009435876010157187,-0.01958184636108417,0.02848951482457594,0.1605245282993842,0.07,0.0,-0.4925225876051005,0.3652184770871483,61.68177145553321,-0.4658334770951129,0.2387542722296879,66.67693669822098,-0.087999150934649,-0.1087355256041071,69.10677773588351,35.48855,133.22708,0.3346527045224347,4.28629932614556,1.0,2.101011442042238,1.0,151.182685673852,3
136.9999999999975,-13.56376128321638,1.920679195299114,5.148299360282124,60.0,32.14657,0.0,-0.02766251731514838,0.03147547538022153,-0.03696177559415183,-0.02203397431057001,0.04260335096268637,0.3147779561696775,0.07,0.0,-0.2258513008567438,0.4249061428023351,61.40472880116417,-0.09341748144243714,0.5495170708892044,62.90031774846161,-0.4588916332847155,-0.2017074272738349,67.22413574998352,35.48855,133.2270876564664,0.3346601915790541,4.285039579398149,1.0,2.379132731385259,1.0,151.2747188150087,3
137.0999999999975,-13.44243692903807,2.560130508809447,5.145839010266651,60.0,32.14657,0.0,-0.02613356268024093,0.07663873018575096,-0.05505322856620835,-0.0182180205333031,0.08655514319009139,0.7663810779742237,0.07,0.0,0.3122124315418642,0.4308297532425863,61.19382538815353,0.5392157312527149,0.6866990904193621,61.28576851496549,-0.6703642930474264,-0.2716241642638786,64.22006688498128,35.48855,133.2271,0.33467226201123296,4.280538040345961,1.0,2.776182074916573,1.0,151.3537498081753,3
137.1999999999975,-13.29506011487493,3.194400345844839,5.1426729891373,60.0,32.14657,0.0,-0.02242177924839328,0.1311633300026293,-0.0514726682485602,-0.01354702834316835,0.1405934960658126,1.311653276302981,0.07,0.0,0.828840222238587,0.401835270321968,60.99266149457374,1.043433846913072,0.5626661256143473,60.89282158696578,-0.5561984405118933,-0.3086920177295719,61.37551131109372,35.48855498813834,133.2271,0.3346733054983534,4.27518989886391,1.0,3.264292553363452,1.0,151.4240589299523,3
137.2999999999975,-13.09788625791314,3.823766535263829,5.140142890511003,60.0,32.14657,0.0,-0.02276233576637694,0.1555206350362095,-0.03489807056008753,-0.01394254501211223,0.1650699732357148,1.555199939169883,0.07,0.0,1.182999053520558,0.362900462288036,60.78261406569892,1.30694317031123,0.3185012481817667,60.89160590754188,-0.2891621605902892,-0.3156127518248463,58.79198372269153,35.48856,133.2271,0.33467435401984214,4.271095537712982,1.0,3.866024868596951,1.0,151.4806657177602,3
137.3999999999974,-12.82297382452067,4.44989962688172,5.139410223003697,60.0,32.14657,0.0,-0.02317,0.1622230757353459,-0.0172282399867195,-0.0147097426880423,0.172216088858243,1.622204096404836,0.07,0.0,1.336101199928496,0.3384073368218755,60.54796006519182,1.371312983102531,0.08180354662222263,60.83758827772733,-0.07944883352422649,-0.3195097709922301,56.49383518231971,35.48856,133.2271,0.33467435401984214,4.269467415730365,1.0,4.583682656298107,1.0,151.5231440801088,3
137.4999999999974,-12.51116183388991,5.072120918295525,5.140183996710489,60.0,32.14657,0.0,-0.02275148300440351,0.2097430445887387,-0.004348491411075392,-0.01441358187136375,0.2196886750712046,2.097417186567211,0.07,0.0,1.366286396199413,0.3184222404975711,60.29962197094947,1.334699749636455,-0.1441068128597842,60.74721703399376,0.06027317982193894,-0.3259425767542035,54.42155970399773,35.48856,133.2271,0.33467435401984214,4.269716367872778,1.0,5.396863127719227,1.0,151.5506625228431,3
