,precision,recall,f1-score,support
1,0.9298087061304413,0.9929048861564856,0.9603215072814484,55954.0
2,0.9901421543943912,0.9183911762592513,0.9529179325641647,55668.0
3,0.9848775119227163,0.9936667215002467,0.9892525947307007,24316.0
4,0.9949799196787149,1.0,0.9974836436839457,3964.0
5,1.0,1.0,1.0,597.0
accuracy,0.9637435141887131,0.9637435141887131,0.9637435141887131,0.9637435141887131
macro avg,0.9799616584252527,0.9809925567831967,0.979995135652052,140499.0
weighted avg,0.9653814744245077,0.9637435141887131,0.9636122416917059,140499.0
