,precision,recall,f1-score,support
1,0.7338491835276485,0.9471210076473234,0.8269557447393485,44460.0
2,0.8302762039660057,0.5304631116943056,0.6473405944147651,44201.0
3,0.6403747355696585,0.6421212121212121,0.6412467846875473,19800.0
4,0.4313464102075795,1.0,0.6027142096860032,2265.0
5,1.0,1.0,1.0,424.0
accuracy,0.7283760683760684,0.7283760683760684,0.7283760683760684,0.7283760683760684
macro avg,0.7271693066541784,0.8239410662925681,0.7436514667055327,111150.0
weighted avg,0.7503948949576256,0.7283760683760684,0.7185370044677526,111150.0
