"Value (CH 1, SKT100C)_Now",ch1(O)_Now,ch2(O)_Now,ch3(O)_Now,ch4(O)_Now,ch5(O)_Now,ch6(O)_Now,ch7(O)_Now,ch8(O)_Now,ch9(O)_Now,ch10(O)_Now,ch11(O)_Now,ch12(O)_Now,ch13(O)_Now,ch14(O)_Now,ch15(O)_Now,ch16(O)_Now,workload_Future,"   _Vind,_kias _Now","   Vtrue,_ktgs _Now","   _wind,speed _Now","   _wind,__dir _Now","   _elev__up,stick _Now","   _elev__down,stick_Now","   ailrn,stick _Now","   ruddr,_surf _Now","   nwhel,steer _Now","   _trim,_elev _Now","   _flap,postn _Now","   pitch,__deg__up_Now","   pitch,__deg__up.1_Now","   _roll,__deg _Now","   hding,_true _Now","   alpha,__deg _Now","   _beta,__deg _Now","   __alt,ftmsl _Now","   ___on,runwy _Now","   _dist,___ft _Now","   thro1,_part _Now","P-P (CH 3, RSP100C)_Now","BPM (CH 3, RSP100C)_Now","P-P (CH 9, PPG100C).1_Now","Value (CH 9, PPG100C).1_Now",HR(EDA100C)_Now,"Value (CH13, Alpha of CH 7).1_Now","Value (CH14, Beta of CH 7)_Now","Value (CH15, Theta of CH 7).1_Now","Value (CH18, Alpha of CH 8).1_Now","Value (CH19, Beta of CH 8)_Now","Value (CH20, Theta of CH 8).1_Now",h_Now,s_Now,v_Now
2.392331008,-1.317892292,-1.607092171,-1.123721153,-0.065524029,0.044301945,-0.539466062,-0.725739784,-0.411982127,-0.789010545,0.227784795,-1.087480804,-0.070696308,-0.599437407,1.214652835,-1.826454389,0.19543366,2,-1.119696587,-0.920011684,-3.01381354,0.072556722,-0.126936318,0.421955722,-0.793668464,3.528495859,1.204749744,2.13900322,-0.485171182,3.289168138,0.963016005,-0.598952428,-1.351787118,2.449646453,0.736298106,-1.76003455,1,-1.578636267,0.909952464,0.898827053,1.050660146,1.00789696,-0.617368079,-1.12568693,-0.013733796,0.157713819,-1.201998418,1.552476832,0.157498012,0.97356902,-0.091335882,0.216283095,0.372327876
2.381224547,-1.236707159,-1.46509265,-1.176271841,-0.172283697,-0.087334082,-0.631807704,-0.831907423,-0.568119805,-0.846960003,0.147718564,-1.110729088,-0.107631038,-0.639956202,1.106928223,-1.860171776,0.201238621,2,-1.144785026,-0.945248203,-2.992381913,0.110431576,-0.126936318,0.421955722,-0.793668464,3.475223325,1.204749744,2.13900322,-0.485171182,3.42829757,0.963016005,-0.566121101,-1.354561715,2.482687626,0.612173566,-1.738560721,0,-1.577116471,0.909952464,0.898827053,1.050660146,0.195217518,0.587512964,-0.971019209,-0.156364107,0.215071069,-1.59557402,1.297577218,0.497679586,0.60582429,-0.054632104,0.312844426,0.441604911
2.366786146,-1.166344376,-1.31194111,-1.244314729,-0.293229878,-0.183264508,-0.710344856,-0.911837869,-0.695364504,-0.878950551,0.063403544,-1.130506614,-0.134521287,-0.695088256,0.964799918,-1.891176162,0.226935553,2,-1.174578468,-0.97163069,-2.970352779,0.144598571,-0.126936318,0.421955722,-0.793668464,3.496563137,1.204749744,2.13900322,-0.485171182,3.530623175,0.963016005,-0.540056412,-1.355837676,2.519752203,0.799844328,-1.71644129,0,-1.575602383,0.909952464,0.890609048,1.190685918,0.147714928,0.947954745,-1.788899721,-0.762853381,-0.083584241,-1.9009196,1.720315725,0.929157166,0.650109775,-0.038685079,0.219571088,0.502617407
2.349015808,-1.107241361,-1.157701732,-1.317178161,-0.416680981,-0.249710965,-0.776603801,-0.972398968,-0.797010687,-0.893563363,-0.018909608,-1.14803314,-0.155799956,-0.757967656,0.804633886,-1.91817526,0.267349733,2,-1.207576494,-0.996849267,-2.948183229,0.180963709,-0.126936318,-0.046375539,-0.773216579,3.517280557,1.204749744,2.13900322,-0.485171182,3.55466525,0.963016005,-0.502990504,-1.359542713,2.488098332,0.683493517,-1.694136776,0,-1.57410496,0.909952464,0.890609048,1.190685918,-0.503198936,0.578139772,-0.43423993,-0.884136452,-0.21984765,-1.875985586,1.691211956,0.717802725,0.772624878,0.028064666,0.092150351,0.559916245
2.336798699,-1.064997644,-1.010834497,-1.387114699,-0.532668666,-0.278251126,-0.825546514,-1.009683734,-0.862332006,-0.889932642,-0.09223074,-1.163206876,-0.172694512,-0.826555183,0.631535582,-1.937497762,0.32264908,2,-1.242713933,-1.015350581,-2.925557179,0.217157309,-0.126936318,-0.566946423,-0.750492262,3.52491417,1.204749744,2.13900322,-0.485171182,3.419241636,0.963016005,-0.455623921,-1.364042525,2.401008703,0.633739229,-1.67137876,0,-1.572561222,0.909952464,0.890609048,1.190685918,-0.974373273,0.170832038,-0.958471972,-0.596717452,-0.482978622,-1.009137788,0.833277241,1.273908343,0.342376222,0.086010808,0.004180928,0.635545824
2.297926084,-1.036554459,-0.876276198,-1.447637973,-0.63445265,-0.280045751,-0.860518999,-1.030999335,-0.897615762,-0.876365857,-0.154102773,-1.177376548,-0.188818453,-0.896450875,0.456722402,-1.949245279,0.383307894,2,-1.27297718,-1.024260378,-2.905015381,0.251074959,-0.126936318,-0.567659288,-0.75013377,3.538071721,1.204749744,2.13900322,-0.485171182,3.237660438,0.963016005,-0.40586028,-1.369142597,2.431949248,0.66628807,-1.650700441,0,-1.571085916,0.909952464,1.412529878,1.317816162,-0.12317822,-0.666790355,0.350203484,-0.734306622,-0.575410536,-1.585413345,1.418842922,0.958688056,0.217923896,0.147922091,-0.055838018,0.701893928
2.274602515,-1.02257431,-0.761671861,-1.490981628,-0.712359333,-0.258430658,-0.880636927,-1.037990397,-0.899037064,-0.857613397,-0.200266494,-1.192294749,-0.20740566,-0.96530518,0.289015941,-1.952036142,0.439553264,2,-1.295954634,-1.025596268,-2.886173714,0.28442658,-0.126936318,-0.591476583,-0.750492262,3.555902002,1.204749744,2.13900322,-0.485171182,3.025547599,0.963016005,-0.353645377,-1.375456634,2.454159552,0.696689275,-1.63169008,0,-1.569633456,0.909952464,1.412529878,1.317816162,-0.911464435,-0.798015025,-0.695373538,-0.282318735,-0.88026663,-1.449877885,1.336221152,1.414001674,-0.144678647,0.230748037,-0.099382971,0.766189101
2.260164115,-1.017709136,-0.666371828,-1.517487373,-0.767330717,-0.226376607,-0.891549819,-1.037985392,-0.876373588,-0.840794165,-0.234531201,-1.210448467,-0.23079242,-1.032495235,0.133681852,-1.948985823,0.481669746,2,-1.309826668,-1.019947129,-2.869573019,0.316272125,-0.126936318,-0.431783292,-0.750492262,3.401230867,1.145762222,2.13900322,-0.485171182,2.802820259,0.963016005,-0.300278069,-1.382932473,2.46796008,0.691729482,-1.614903848,0,-1.56824542,0.909952464,1.672715009,0.853742974,-0.539146843,-1.106478203,-0.309950376,-0.430241506,-0.727093069,-1.22666336,1.103408901,1.599777315,-0.087843946,0.328907048,-0.149632118,0.822629136
2.247947007,-1.019819161,-0.595264094,-1.524422192,-0.79531873,-0.193107468,-0.897281994,-1.036258286,-0.833131672,-0.833806953,-0.260099066,-1.236948696,-0.262523479,-1.098893208,-0.001766888,-1.942592569,0.494748206,2,-1.31517005,-1.009414466,-2.854098401,0.34815953,-0.126936318,-0.100235498,-0.755180451,3.583872059,1.204749744,2.13900322,-0.485171182,2.641539125,0.963016005,-0.251102578,-1.391646965,2.561445091,0.770601495,-1.599193664,0,-1.566834595,0.909952464,1.672715009,0.853742974,-0.539146843,-1.106478203,-0.622823297,0.594174685,-1.080786253,-1.280221521,1.22420923,1.351948384,-0.630836125,0.381486444,-0.199911185,0.855877863
2.2357299,-1.024799932,-0.544468347,-1.517770662,-0.803935011,-0.168555577,-0.905318132,-1.039552334,-0.782782115,-0.841418716,-0.286356281,-1.275552744,-0.302799126,-1.167405082,-0.118270374,-1.937526619,0.473996682,2,-1.312267351,-0.994646374,-2.838926889,0.381526621,-0.126936318,-0.04531978,0.198085636,3.608749681,1.204749744,2.13900322,-0.485171182,2.479241393,0.963016005,-0.345395509,-1.402655489,2.572103052,0.430657693,-1.583725391,0,-1.565343199,0.909952464,1.672715009,0.853742974,0.476381494,-1.034049004,-1.258548935,1.492104044,-0.681569375,-0.651617846,1.745392219,1.169274035,-0.200103163,0.670395363,-0.109042179,0.949979628
