"Value (CH 1, SKT100C)_Now",ch1(O)_Now,ch2(O)_Now,ch3(O)_Now,ch4(O)_Now,ch5(O)_Now,ch6(O)_Now,ch7(O)_Now,ch8(O)_Now,ch9(O)_Now,ch10(O)_Now,ch11(O)_Now,ch12(O)_Now,ch13(O)_Now,ch14(O)_Now,ch15(O)_Now,ch16(O)_Now,workload_Future,"   _Vind,_kias _Now","   Vtrue,_ktgs _Now","   _wind,speed _Now","   _wind,__dir _Now","   _elev__up,stick _Now","   _elev__down,stick_Now","   ailrn,stick _Now","   ruddr,_surf _Now","   nwhel,steer _Now","   _trim,_elev _Now","   _flap,postn _Now","   pitch,__deg__up_Now","   pitch,__deg__up.1_Now","   _roll,__deg _Now","   hding,_true _Now","   alpha,__deg _Now","   _beta,__deg _Now","   __alt,ftmsl _Now","   ___on,runwy _Now","   _dist,___ft _Now","   thro1,_part _Now","P-P (CH 3, RSP100C)_Now","BPM (CH 3, RSP100C)_Now","P-P (CH 9, PPG100C).1_Now","Value (CH 9, PPG100C).1_Now",HR(EDA100C)_Now,"Value (CH13, Alpha of CH 7).1_Now","Value (CH14, Beta of CH 7)_Now","Value (CH15, Theta of CH 7).1_Now","Value (CH18, Alpha of CH 8).1_Now","Value (CH19, Beta of CH 8)_Now","Value (CH20, Theta of CH 8).1_Now",h_Now,s_Now,v_Now
1.362183997,-2.464119768,-1.841325529,-2.064795295,-2.057123921,-1.305462523,-2.394856366,-1.650348323,-1.738562769,-1.514458284,-0.717561724,-1.68660866,-0.949004201,-1.251608876,0.323235284,-1.119253132,-0.35299514,1,-4.444526844,-3.294645253,-5.455748713,-0.682934175,-0.244764626,0.54804725,0.262708156,-1.333179974,-1.264694015,2.43344345,-0.422109446,0.097447342,0.79945683,-0.677281223,0.082428433,2.155166912,-5.530378377,-3.350194688,1,-1.582481288,-0.50744077,0.75258014,0.40745037,0.144656209,0.14918661,-0.325456557,-0.341065641,-0.67209872,-0.494675111,0.287993104,-1.504421592,-0.91057527,-0.633023662,-3.138844152,-1.940334664
1.352830725,-2.41565824,-1.879201282,-1.997837014,-2.020234603,-1.15034864,-2.309445391,-1.620706249,-1.723986589,-1.480650228,-0.788531025,-1.716121984,-0.927543652,-1.278462431,0.269205294,-1.140794234,-0.398594191,1,-4.243464835,-3.139468839,-5.4438124,-0.675188699,-0.244764626,0.54804725,0.262708156,-1.291926821,-1.303276399,2.43344345,-0.422109446,0.020029621,0.79945683,-0.735305677,0.078108056,2.019573167,-5.642803086,-3.349832288,1,-1.581879453,-0.27150463,0.75258014,0.40745037,-1.30067566,0.888192445,0.137388524,-0.010197062,0.043593473,-0.535784642,0.306862518,-0.970408519,-0.342788373,-0.618088341,-3.186825305,-2.076668378
1.343477453,-2.332282364,-1.884237669,-1.893227112,-1.942745379,-1.005376141,-2.203928627,-1.607122876,-1.716055401,-1.439189239,-0.852227414,-1.7336356,-0.89092117,-1.289237324,0.215625202,-1.158972984,-0.450157257,1,-4.029825978,-2.97556352,-5.453736661,-0.658375268,-0.244764626,0.54804725,0.262708156,-1.293994552,-1.303276399,2.43344345,-0.422109446,0.117649615,0.79945683,-0.70632525,0.068729874,2.147043419,-5.569448235,-3.349208502,1,-1.581156524,0.104546566,0.75258014,0.40745037,-0.878955541,0.534557751,0.156109549,0.108415631,-0.570812857,-0.86794306,0.293815463,-0.549468385,0.383143559,-0.689458662,-3.429834914,-2.254392275
1.340076263,-2.21971501,-1.855920284,-1.75586515,-1.828115594,-0.886044368,-2.083768013,-1.608424627,-1.711708217,-1.392372564,-0.905682601,-1.734085485,-0.839582639,-1.277405218,0.167295675,-1.169657554,-0.501373368,1,-3.796767569,-2.792078037,-5.431908812,-0.643528915,-0.244764626,0.54804725,0.262708156,-1.297813048,-1.303276399,2.43344345,-0.422109446,-0.007692074,0.79945683,-0.686911796,0.060448879,1.976059053,-5.375292064,-3.348515149,1,-1.580277749,0.66285273,1.306707515,-0.652671582,-0.326561579,-0.093370519,-1.047382758,0.025819551,0.065357981,-0.801070374,0.705516624,-0.353271696,1.031708783,-0.847690608,-3.389869892,-2.314900428
1.348579237,-2.089103515,-1.801097564,-1.597712057,-1.687950223,-0.800146952,-1.957756372,-1.6213997,-1.708556258,-1.343975752,-0.949192159,-1.717624506,-0.777469686,-1.242730012,0.126856723,-1.171364394,-0.547253865,1,-3.544541151,-2.596766654,-5.445263845,-0.629668157,-0.244764626,0.54804725,0.262708156,-1.282935952,-1.278828795,2.43344345,-0.422109446,0.083482168,0.79945683,-0.728921652,0.052717558,2.086332769,-5.215257436,-3.347776924,1,-1.579260757,0.751234963,1.306707515,-0.652671582,-0.908654137,-0.375598208,-1.158518517,0.260956579,0.62978423,-0.530817029,0.55266194,-0.559416497,1.184873955,-1.012795294,-3.345095965,-2.505366924
1.335824776,-1.948782606,-1.719899485,-1.428096335,-1.529497102,-0.769506512,-1.836614942,-1.647684183,-1.705243038,-1.299247459,-0.9805658,-1.680170031,-0.70667713,-1.177981242,0.099771735,-1.159861078,-0.580091909,1,-3.277139172,-2.405046329,-5.424107516,-0.629790996,-0.244764626,0.54804725,0.262708156,-0.844905067,-0.797872522,2.43344345,-0.422109446,-0.002414542,0.79945683,-0.689185992,0.052786102,1.95230093,-4.149427926,-3.346911973,1,-1.578078926,0.751234963,1.306707515,-0.652671582,-0.231526056,-0.332527315,0.559766729,0.449741135,0.950594127,-0.268813469,1.000735096,-0.14869972,1.278184478,-1.201939378,-3.273059337,-2.678097939
1.321369718,-1.81013989,-1.625146884,-1.2604554,-1.367754867,-0.786078356,-1.727320229,-1.683367186,-1.701259156,-1.261149449,-1.00413495,-1.629225329,-0.633433853,-1.092045154,0.083657769,-1.138381834,-0.599989595,1,-3.017193095,-2.224747929,-5.42891308,-0.648064125,-0.244764626,0.54804725,0.18181535,0.404655817,0.482671037,2.43344345,-0.422109446,0.03082356,0.79945683,-0.676410352,0.062978449,1.953817034,-2.470775053,-3.345989059,1,-1.576768513,0.751234963,0.775631553,0.140392167,0.570336144,-1.009193697,-0.102011367,-0.153597659,1.343555718,-0.122902514,1.101667826,0.418775185,1.54103044,-1.239791538,-3.228237703,-2.800578911
1.315417636,-1.684436587,-1.521807716,-1.108711299,-1.215260993,-0.86783529,-1.642937273,-1.730963294,-1.696085742,-1.236363607,-1.020012948,-1.565713587,-0.562823617,-0.982731345,0.081233033,-1.105221951,-0.600286598,1,-2.76920121,-2.056275024,-5.429096279,-0.678562889,-0.244764626,5.47E-01,0.262708156,0.471562052,0.535275507,2.43344345,-0.422109446,0.017261307,0.79945683,-0.670722183,0.07999,1.909407635,-0.906906118,-3.344922423,1,-1.575345437,0.751234963,0.775631553,0.140392167,-0.336461113,-1.275553163,-0.736955619,0.291116709,2.314367614,0.290068321,0.85870858,0.508085375,1.933958121,-1.372846687,-3.200139091,-2.867124806
1.280555439,-1.576838695,-1.41937498,-0.979876548,-1.08067092,-1.001488734,-1.584919115,-1.787698235,-1.689799339,-1.225619147,-1.032040286,-1.497413957,-0.4993254,-0.859804481,0.08804674,-1.064735241,-0.583687119,1,-2.529333226,-1.891533038,-5.407441917,-0.667398442,-0.244764626,0.54804725,0.262708156,-1.097797308,-1.140666625,2.43344345,-0.422109446,-0.0713391,0.79945683,-0.732481441,0.073762867,1.745927388,-2.959048021,-3.34377841,1,-1.573757905,0.751234963,0.775631553,0.140392167,0.237711825,-1.184877599,0.922531352,0.187500849,1.774492983,0.09280847,0.987670289,0.655288596,2.057175334,-1.436374725,-3.210174895,-2.796961123
1.253345919,-1.4968956,-1.3263417,-0.887255686,-0.976850901,-1.190055184,-1.562488087,-1.853885361,-1.682179854,-1.234184522,-1.042157906,-1.430293603,-0.449538005,-0.72844123,0.10261004,-1.018952831,-0.547757496,1,-2.301688603,-1.73555766,-5.40361833,-0.66276915,-0.244764626,0.54804725,0.262708156,-1.237689364,-1.183330403,2.43344345,-0.422109446,-0.041678366,0.79945683,-0.70804161,0.071180634,1.825468156,-2.774938147,-3.342335034,1,-1.572055644,0.751234963,1.18108625,0.746502722,1.263303483,-0.870913466,0.442348044,0.185276293,1.698426809,0.572994148,0.983871555,0.680991162,1.802019271,-1.479839522,-3.190503554,-2.704261194
