"Value (CH 1, SKT100C)_Now",ch1(O)_Now,ch2(O)_Now,ch3(O)_Now,ch4(O)_Now,ch5(O)_Now,ch6(O)_Now,ch7(O)_Now,ch8(O)_Now,ch9(O)_Now,ch10(O)_Now,ch11(O)_Now,ch12(O)_Now,ch13(O)_Now,ch14(O)_Now,ch15(O)_Now,ch16(O)_Now,workload_Future,"   _Vind,_kias _Now","   Vtrue,_ktgs _Now","   _wind,speed _Now","   _wind,__dir _Now","   _elev__up,stick _Now","   _elev__down,stick_Now","   ailrn,stick _Now","   ruddr,_surf _Now","   nwhel,steer _Now","   _trim,_elev _Now","   _flap,postn _Now","   pitch,__deg__up_Now","   pitch,__deg__up.1_Now","   _roll,__deg _Now","   hding,_true _Now","   alpha,__deg _Now","   _beta,__deg _Now","   __alt,ftmsl _Now","   ___on,runwy _Now","   _dist,___ft _Now","   thro1,_part _Now","P-P (CH 3, RSP100C)_Now","BPM (CH 3, RSP100C)_Now","P-P (CH 9, PPG100C).1_Now","Value (CH 9, PPG100C).1_Now",HR(EDA100C)_Now,"Value (CH13, Alpha of CH 7).1_Now","Value (CH14, Beta of CH 7)_Now","Value (CH15, Theta of CH 7).1_Now","Value (CH18, Alpha of CH 8).1_Now","Value (CH19, Beta of CH 8)_Now","Value (CH20, Theta of CH 8).1_Now",h_Now,s_Now,v_Now
1.79504601,-1.94224789,-1.269858067,-2.155572398,-1.584904769,0.145037411,-2.016189284,-1.553443581,-1.166640057,-1.393543319,-1.419740418,-2.349362054,-1.406481441,-2.688565496,0.24535537,-2.925033583,-0.66579183,2,-4.599738142,-3.628098952,-5.281805012,1.955343613,-0.149515074,0.292940574,-0.58602428,0.259944287,0.145242082,1.865555476,-0.423797219,-0.207113939,0.9439256,-0.603223511,-0.31733675,1.404665009,25.80645718,-2.346730514,1,-1.577556378,-2.208100909,1.436290194,-2.206446969,2.639821226,0.903824301,0.589937887,0.736679801,-0.847640242,-0.606440499,-0.712894272,0.483167404,-0.436794275,-0.166441518,-0.080429191,-1.485165876
1.78417828,-1.885345374,-1.152930084,-2.064509631,-1.379757189,0.317903634,-1.904959135,-1.40145827,-1.070826286,-1.31577358,-1.241784087,-2.17337369,-1.314799199,-2.514921974,0.356008739,-2.866410558,-0.688102052,2,-4.527766792,-3.564360235,-5.286087699,1.932027237,-0.149515074,0.292940574,-0.58602428,3.078794563,2.680310182,1.865555476,-0.423797219,-0.171627183,0.9439256,-0.595551747,-0.324675807,1.31268276,16.07429426,-2.346715463,1,-1.577367169,-2.131556251,1.436290194,-2.206446969,2.493285536,2.896092072,-0.422424942,0.95041757,-0.776080012,-0.927920435,-0.571377711,0.963649188,0.338540419,-0.146244147,-0.08756547,-1.534843297
1.783143258,-1.829930559,-1.047581775,-1.966270483,-1.167754051,0.479894724,-1.77153472,-1.242459401,-0.990453306,-1.233133952,-1.072776954,-2.028611901,-1.220987046,-2.330663992,0.452698065,-2.800034199,-0.699913876,2,-4.447072365,-3.49631046,-5.280780262,1.957666772,-0.149515074,0.292940574,-0.680733362,4.876111461,4.371476371,1.865555476,-0.423797219,-0.271582243,0.9439256,-0.608580922,-0.316605627,1.390767698,10.54460313,-2.34673209,1,-1.577138469,-1.891645442,1.436290194,-2.206446969,1.658264691,4.110130246,-1.614350599,0.293045106,-0.713612312,-0.567515047,-0.841315747,0.09397972,0.371171376,-0.279599866,-0.24637853,-1.542378955
1.791423433,-1.782630037,-0.964047982,-1.873778464,-0.967414938,0.616050459,-1.625562193,-1.08785081,-0.932647646,-1.153069128,-0.926646824,-1.931491308,-1.133221331,-2.14872233,0.524001833,-2.734045813,-0.705141482,2,-4.360839568,-3.417527898,-5.279042256,2.016228017,-0.149515074,0.292940574,0.384408447,2.379340777,2.165962543,1.865555476,-0.423797219,-0.241485511,0.9439256,-0.605327119,-0.298172942,1.419834358,6.346390892,-2.346796732,1,-1.576865701,-1.634137937,1.436290194,-2.206446969,0.906978519,3.753559592,-1.818659723,-0.328267934,-0.625403786,-0.5456535,-1.122956114,0.089001076,-0.040605603,-0.181856732,-0.071949004,-1.48241333
1.7945285,-1.745154862,-0.901718078,-1.796342301,-0.791011927,0.72376807,-1.480879963,-0.946936373,-0.893834429,-1.081240514,-0.806314631,-1.875839446,-1.055587943,-1.979084594,0.571699949,-2.674699035,-0.709588369,2,-4.261726196,-3.327369422,-5.282648282,2.041489067,-0.149515074,0.292940574,0.384408447,2.440928212,2.165962543,1.865555476,-0.423797219,-0.173101689,0.9439256,-0.607870419,-0.290221817,1.335479451,4.152602345,-2.346795546,1,-1.576541854,-1.440228975,1.436290194,-2.206446969,1.20470183,2.052774182,-1.965855783,-0.480048178,-0.583170169,-1.359125842,-0.948941973,0.530948158,-0.107194782,-0.392857293,-0.372226685,-1.594226543
1.798668587,-1.72094258,-0.865370336,-1.745523485,-0.655657108,0.792420641,-1.348884655,-0.83243731,-0.87588604,-1.024705538,-0.721771182,-1.867291782,-0.993538802,-1.832955394,0.591393792,-2.627688763,-0.7169679,2,-4.146402919,-3.21933655,-5.277210462,2.0516974,-0.149515074,0.292940574,0.384408447,2.466128532,2.165962543,1.865555476,-0.423797219,-0.241789191,0.9439256,-0.603204092,-0.287008555,1.321722387,2.952088652,-2.346744106,1,-1.576159052,-0.953584436,1.436290194,-2.206446969,-0.174594443,0.173703441,-1.661689868,-0.6620831,0.039448656,-0.615390189,-1.393694583,1.145255883,0.281439774,-0.521964905,-0.533411214,-1.670001208
1.810571339,-1.707690406,-0.848892159,-1.720835767,-0.560953598,0.826952957,-1.234446268,-0.746412549,-0.872242534,-0.983959244,-0.668815035,-1.892351833,-0.94552395,-1.711314342,0.589718425,-2.592324443,-0.728732827,2,-4.007171775,-3.08710266,-5.278291201,2.053492848,-0.149515074,0.292940574,0.384408447,2.485573881,2.165962543,1.865555476,-0.423797219,-0.218190491,0.9439256,-0.617797414,-0.286443462,1.337647689,2.20199305,-2.34672794,1,-1.575703845,-0.416172436,0.90840812,-2.194592387,-0.107141503,-0.862992713,-1.24661259,-0.816807956,0.395484356,-0.37521698,-1.70688802,0.662540822,-0.540363323,-0.544137818,-0.56188288,-1.681014913
1.818334004,-1.706056061,-0.851548216,-1.727088237,-0.516572634,0.822747934,-1.145221825,-0.698066702,-0.88074566,-0.963295516,-0.652801849,-1.947607806,-0.913243404,-1.621431681,0.565854256,-2.569714591,-0.746104383,2,-3.836960653,-2.927554205,-5.280024266,2.045009756,-0.149515074,0.292940574,0.384408447,2.50560335,2.165962543,1.865555476,-0.423797219,-0.177255855,0.9439256,-0.58243557,-0.289113577,1.43687667,1.567454384,-2.34673418,1,-1.57516038,-0.10363506,0.90840812,-2.194592387,-0.276936829,-1.5412316,0.440352454,-0.855075838,0.534781197,-0.865196656,-2.195840542,0.891060564,-0.945687534,-0.573919333,-0.552250753,-1.678225941
1.823509114,-1.712201515,-0.864976761,-1.755452347,-0.511694672,0.790734099,-1.077697202,-0.680699311,-0.894691801,-0.958639986,-0.665197178,-2.018256604,-0.891846104,-1.558126021,0.526243471,-2.555260101,-0.766971689,2,-3.636975386,-2.754080321,-5.272466156,2.028050015,-0.149515074,0.292940574,0.384408447,2.5256519,2.165962543,1.865555476,-0.423797219,-0.23085024,0.9439256,-0.592093762,-0.294451808,1.327654301,1.273608394,-2.346750939,1,-1.574516029,0.418554545,0.90840812,-2.194592387,-0.365323439,-1.740269716,1.667356842,-0.701171611,0.131956467,-1.630920443,-2.20877554,0.896750442,-0.838362608,-0.212268946,-0.261748757,-1.611540879
1.8323068,-1.725126076,-0.8849844,-1.802811131,-0.547010091,0.733297703,-1.033599335,-0.69517415,-0.910085057,-0.970226884,-0.706918628,-2.096365124,-0.879861761,-1.524367176,0.470659735,-2.546806763,-0.789133063,2,-3.413150069,-2.561463721,-5.277145649,2.003448948,-0.149515074,0.292940574,0.349026655,3.079921557,2.642347493,1.865555476,-0.423797219,-0.17877657,0.9439256,-0.593018006,-0.302195297,1.375640364,0.983630136,-2.346742868,1,-1.573761808,0.833829664,0.90840812,-2.194592387,2.344423881,-0.800734347,1.140208682,-0.677868148,0.446837946,-0.948149012,-1.575921167,1.184644066,-0.450052808,-0.311722262,-0.379658569,-1.605338723
