,precision,recall,f1-score,support
1,0.7360056990985561,0.9601458340779926,0.833266122778174,55954.0
2,0.8579531374762521,0.5597470719264209,0.6774870362116386,55668.0
3,0.6895103645461044,0.6347261062674782,0.6609850107066381,24316.0
4,0.48312004875076175,1.0,0.6514914947818228,3964.0
5,1.0,1.0,1.0,597.0
accuracy,0.7464750638794582,0.7464750638794582,0.7464750638794582,0.7464750638794582
macro avg,0.7533178499743348,0.8309238024543785,0.7646459328956546,140499.0
weighted avg,0.7702632761937074,0.7464750638794582,0.73730734575632,140499.0
