,precision,recall,f1-score,support
1.0,0.3068865611767328,0.8465742195505157,0.4504743557122605,14639.0
2.0,0.47662112757360015,0.16920554682696906,0.24974793305101836,14639.0
3.0,0.5014058106841612,0.03654621217296263,0.06812683051063288,14639.0
4.0,0.388023093468171,0.7024386911674295,0.49990277102576575,14639.0
5.0,0.0,0.0,0.0,14639.0
accuracy,0.3509529339435754,0.3509529339435754,0.3509529339435754,0.3509529339435754
macro avg,0.33458731858053303,0.3509529339435754,0.25365037805993546,73195.0
weighted avg,0.33458731858053303,0.3509529339435754,0.25365037805993546,73195.0
