,precision,recall,f1-score,support
1.0,0.584431203192478,0.7714120787935638,0.6650286140831052,13859.0
2.0,0.535974025974026,0.29778483296053104,0.3828563476970175,13859.0
3.0,0.3821621082052306,0.5524929648603796,0.4518070511874908,13859.0
4.0,0.0,0.0,0.0,13859.0
5.0,0.49840969655290984,0.8367126055270943,0.6247003367003368,13859.0
accuracy,0.49168049642831374,0.49168049642831374,0.49168049642831374,0.49168049642831374
macro avg,0.4001954067849288,0.4916804964283137,0.42487846993359,69295.0
weighted avg,0.40019540678492893,0.49168049642831374,0.4248784699335901,69295.0
