,precision,recall,f1-score,support
1,1.0,1.0,1.0,15059.0
2,1.0,1.0,1.0,15059.0
3,1.0,1.0,1.0,15059.0
4,1.0,1.0,1.0,15059.0
5,1.0,1.0,1.0,15059.0
accuracy,1.0,1.0,1.0,1.0
macro avg,1.0,1.0,1.0,75295.0
weighted avg,1.0,1.0,1.0,75295.0
