"Value (CH 1, SKT100C)_Now",ch1(O)_Now,ch2(O)_Now,ch3(O)_Now,ch4(O)_Now,ch5(O)_Now,ch6(O)_Now,ch7(O)_Now,ch8(O)_Now,ch9(O)_Now,ch10(O)_Now,ch11(O)_Now,ch12(O)_Now,ch13(O)_Now,ch14(O)_Now,ch15(O)_Now,ch16(O)_Now,workload_Future,"   _Vind,_kias _Now","   Vtrue,_ktgs _Now","   _wind,speed _Now","   _wind,__dir _Now","   _elev__up,stick _Now","   _elev__down,stick_Now","   ailrn,stick _Now","   ruddr,_surf _Now","   nwhel,steer _Now","   _trim,_elev _Now","   _flap,postn _Now","   pitch,__deg__up_Now","   pitch,__deg__up.1_Now","   _roll,__deg _Now","   hding,_true _Now","   alpha,__deg _Now","   _beta,__deg _Now","   __alt,ftmsl _Now","   ___on,runwy _Now","   _dist,___ft _Now","   thro1,_part _Now","P-P (CH 3, RSP100C)_Now","BPM (CH 3, RSP100C)_Now","P-P (CH 9, PPG100C).1_Now","Value (CH 9, PPG100C).1_Now",HR(EDA100C)_Now,"Value (CH13, Alpha of CH 7).1_Now","Value (CH14, Beta of CH 7)_Now","Value (CH15, Theta of CH 7).1_Now","Value (CH18, Alpha of CH 8).1_Now","Value (CH19, Beta of CH 8)_Now","Value (CH20, Theta of CH 8).1_Now",h_Now,s_Now,v_Now
1.322131992,-1.998669052,-1.139933108,-1.803977752,-0.438279273,-0.904588519,-1.454653907,0.45091868,-1.519016555,-2.11478125,-0.441388228,-2.245796434,-1.073829463,0.223266201,-0.850707446,3.086430945,-0.139259826,1,-1.145467976,-0.841297661,-5.038580563,-0.858458957,7.423132573,0.6189113,-0.249255859,6.14084261,7.319640489,2.688242868,-0.642522425,2.487110658,1.300146886,-0.387491259,1.159705598,3.924366184,1.116016665,-1.521746254,1,-1.794840344,1.160018898,-0.510868187,-0.076008417,-0.082345709,2.29800963,-1.784952861,0.404702346,-0.081497682,-0.525870369,1.390954206,0.345197799,0.683265456,-2.078082792,-2.040683048,-0.274408269
1.319512823,-1.924030649,-1.144550199,-1.505154095,-0.290747873,-0.878594477,-1.555567365,0.710439129,-1.354310625,-2.121650203,-0.074814762,-1.837603177,-1.109836861,0.395885277,-0.61127534,3.333875791,0.024018558,1,-1.016640023,-0.834042234,-4.759614548,-0.88101118,1.655828759,0.6189113,0.857597495,2.836121931,3.785213688,2.688242868,-0.642522425,3.348411136,1.300146886,-0.309930035,1.154371737,3.573773392,-1.626338083,-1.511650914,1,-1.792996355,1.160018898,3.445869142,-0.357523232,0.552897198,0.988803857,-2.341317184,0.009875763,0.379037676,-0.664845785,1.489225738,-0.369615839,-0.410908778,-2.082842344,-2.091161556,-0.28450145
1.315911466,-1.832841121,-1.120931953,-1.211503452,-0.114936898,-0.823595279,-1.627974911,0.940475999,-1.179577131,-2.085084754,0.280684036,-1.422811475,-1.104489674,0.520253495,-0.390323601,3.546086721,0.177325291,1,-0.959674905,-0.839617592,-4.7596051,-0.868300882,-0.173952328,0.6189113,-0.650355669,0.550492142,1.19044095,2.688242868,-0.642522425,3.700593885,1.300146886,-0.07269519,1.157377394,3.193271944,-1.146874717,-1.498345836,1,-1.791160691,1.160018898,3.445869142,-0.357523232,-0.463077615,-0.69155236,-2.52701573,0.028328454,1.017761128,-0.657075986,1.348727314,-0.527190996,-0.710462343,-2.009574519,-2.072872855,-0.301104425
1.311982714,-1.732827822,-1.083195673,-0.931711617,0.069064025,-0.75581049,-1.67995311,1.140117262,-1.008768296,-2.022470928,0.61255585,-1.02704196,-1.076999138,0.604610993,-0.194916776,3.726342625,0.316669472,1,-0.946768988,-0.85640799,-4.723517923,-0.854615541,-0.173952328,0.6189113,-0.43430139,-0.119063305,0.089532485,2.688242868,-0.642522425,4.115444955,1.300146886,-0.081865946,1.160254102,3.204093771,-1.225785249,-1.483282617,1,-1.78933181,1.160018898,3.445869142,-0.357523232,2.106862739,-1.938116707,-2.39382561,0.018659854,0.322113647,-0.471871711,1.936971129,-0.372808867,-0.287981989,-2.101514866,-2.152969102,-0.336989744
1.309036149,-1.62575452,-1.03465286,-0.68051531,0.248991018,-0.681648904,-1.70664969,1.290782413,-0.856470219,-1.933905867,0.894904261,-0.684476389,-1.031388161,0.635484213,-0.044515954,3.858970358,0.430926536,1,-0.952912267,-0.885170363,-4.679006758,-0.842076363,-0.173952328,0.6189113,-0.452530783,-0.153511432,0.089532485,2.688242868,-0.642522425,4.506994186,1.300146886,-0.137473462,1.162775574,3.221008917,-1.168055997,-1.466624597,1,-1.787518249,1.160018898,3.445869142,-0.357523232,1.285392272,-0.926457701,-1.619972419,0.561534967,-0.204160443,-0.182497254,2.107983744,0.130352613,-0.109949067,-2.297595362,-2.331514654,-0.362894068
1.307726564,-1.516794126,-0.982834069,-0.459082714,0.415193359,-0.609956348,-1.714618772,1.39613703,-0.728552379,-1.830873433,1.124232658,-0.404327195,-0.979443801,0.625234135,0.063335057,3.949853344,0.520788588,1,-0.972959866,-0.921208998,-4.631033938,-0.832207331,-0.173952328,-1.953300588,-0.504467354,-0.047537658,0.089532485,2.688242868,-0.642522425,4.64312722,1.300146886,-0.187711687,1.164631281,2.849258392,-1.218620197,-1.448514377,1,-1.785715253,1.160018898,0.6495315,-0.742040872,2.483456252,-0.331364166,-1.485211072,0.746260128,-1.14300626,-0.06226756,1.314560775,-0.03362433,-0.234459621,-2.337223304,-2.361852376,-0.365399266
1.307726564,-1.410026811,-0.93222948,-0.277455459,0.556282435,-0.548269158,-1.703348622,1.445025881,-0.637101611,-1.717937739,1.281522663,-0.212195975,-0.928098026,0.572260263,0.118956089,3.990293724,0.579437063,1,-0.999721684,-0.932577635,-4.583826774,-0.82727705,-0.173952328,-2.064364776,-0.504467354,-0.057614078,0.089532485,2.629195956,-0.642522425,4.127204122,1.300146886,-0.253010446,1.165326204,2.525332482,-1.449143266,-1.430906808,0,-1.783940741,1.160018898,0.6495315,-0.742040872,1.887528054,0.695172179,-1.502193913,0.50959293,-0.753600441,0.150838668,1.24277326,0.14778057,0.372003874,-2.40357814,-2.397489191,-0.370071626
1.307071772,-1.308651175,-0.886042721,-0.129915207,0.671948771,-0.499241448,-1.679663411,1.448720137,-0.57906635,-1.603012339,1.377488957,-0.096865797,-0.882685548,0.491286016,0.13412401,3.990720472,0.612315357,1,-1.018855254,-0.92794302,-4.541813388,-0.821533527,-0.173952328,-1.670035597,-0.508420415,-0.021050865,0.089532485,2.629195956,-0.642522425,3.662778805,1.300146886,-0.318804574,1.166265765,2.578079654,-1.272533211,-1.415245816,0,-1.782168097,1.160018898,0.6495315,-0.742040872,0.087328292,1.281652516,-1.092317236,0.852599477,-0.26831107,0.004093453,0.663507383,-0.482205475,-0.118193525,-2.457751752,-2.407546164,-0.369704332
1.308381356,-1.217241027,-0.847830869,-0.02126522,0.755685553,-0.467965813,-1.646316418,1.405154222,-0.560384905,-1.492895701,1.406401771,-0.067756321,-0.848363345,0.386868396,0.108657357,3.9482064,0.616675666,1,-1.023679418,-0.919119314,-4.504693545,-0.818381367,-0.173952328,-0.746603982,-0.552620466,0.033346153,0.089532485,2.629195956,-0.642522425,3.542099725,1.300146886,-0.375501864,1.166641233,2.903020721,-1.233289683,-1.401192238,0,-1.780390068,1.160018898,0.6495315,-0.742040872,-0.514807497,0.27704067,-0.715402424,0.620553078,-0.881216917,0.409003953,0.059412741,-0.029172965,0.022317493,-2.487127095,-2.421580998,-0.369988456
1.311000525,-1.136686147,-0.817768425,0.057912308,0.813785184,-0.451990086,-1.609878894,1.330712276,-0.57132958,-1.39285032,1.389614796,-0.09995264,-0.824883951,0.271418396,0.057806933,3.875202862,0.600187791,1,-1.018312464,-0.909553727,-4.468951208,-0.817473246,-0.173952328,-0.730546978,-0.536798729,0.060527039,0.089532485,2.629195956,-0.642522425,3.39741648,1.300146886,-0.435374948,1.166499381,2.8704373,-1.209869769,-1.387717764,0,-1.778606466,1.160018898,0.6495315,-0.742040872,-0.750695742,0.037437221,-0.046512517,0.380363094,-1.299995361,0.738411649,0.263854229,-0.450023525,0.165492789,-2.505108458,-2.413518686,-0.369670335
