"Value (CH 1, SKT100C)_Now",ch1(O)_Now,ch2(O)_Now,ch3(O)_Now,ch4(O)_Now,ch5(O)_Now,ch6(O)_Now,ch7(O)_Now,ch8(O)_Now,ch9(O)_Now,ch10(O)_Now,ch11(O)_Now,ch12(O)_Now,ch13(O)_Now,ch14(O)_Now,ch15(O)_Now,ch16(O)_Now,workload_Future,"   _Vind,_kias _Now","   Vtrue,_ktgs _Now","   _wind,speed _Now","   _wind,__dir _Now","   _elev__up,stick _Now","   _elev__down,stick_Now","   ailrn,stick _Now","   ruddr,_surf _Now","   nwhel,steer _Now","   _trim,_elev _Now","   _flap,postn _Now","   pitch,__deg__up_Now","   pitch,__deg__up.1_Now","   _roll,__deg _Now","   hding,_true _Now","   alpha,__deg _Now","   _beta,__deg _Now","   __alt,ftmsl _Now","   ___on,runwy _Now","   _dist,___ft _Now","   thro1,_part _Now","P-P (CH 3, RSP100C)_Now","BPM (CH 3, RSP100C)_Now","P-P (CH 9, PPG100C).1_Now","Value (CH 9, PPG100C).1_Now",HR(EDA100C)_Now,"Value (CH13, Alpha of CH 7).1_Now","Value (CH14, Beta of CH 7)_Now","Value (CH15, Theta of CH 7).1_Now","Value (CH18, Alpha of CH 8).1_Now","Value (CH19, Beta of CH 8)_Now","Value (CH20, Theta of CH 8).1_Now",h_Now,s_Now,v_Now
1.697997173,-1.478433118,-1.85560942,-1.515466978,-1.336714733,-0.459518839,-1.758057697,-1.318157628,-1.564556912,-1.474837469,-0.97782652,-1.598761403,-1.151323548,-1.850677462,-0.278010412,-1.503028661,-0.653227115,2,-3.220499359,-2.244466258,-6.552225736,-0.659223608,-0.082732412,6.46E-01,0.34609612,2.01874135,2.221177899,1.889519359,-0.642269819,-0.303087892,1.064842895,-0.602091834,0.277118126,1.4653397,-2.543896869,-2.227436467,1,-1.540104664,-0.80513108,0.306080942,0.217199096,-1.637372604,0.405988676,1.283801799,0.424370463,1.069782428,-1.033139965,0.660139133,-0.863495122,-1.431399897,1.128060248,2.155578532,0.197594935
1.680348252,-1.490010208,-1.839854077,-1.466291058,-1.27683202,-0.433666061,-1.660922216,-1.176208786,-1.47321194,-1.464162268,-0.9769286,-1.572432854,-1.13877527,-1.826348575,-0.355088538,-1.488525868,-0.593550905,2,-3.091187252,-2.147655418,-6.554444559,-0.708199245,-0.082732412,0.642330555,0.34609612,-0.480449016,-0.336696483,1.889519359,-0.642269819,-0.271493789,1.064842895,-0.673414373,0.305934295,1.481773117,-0.820271144,-2.227576493,1,-1.539636056,-0.472924915,0.306080942,0.217199096,-0.887551602,0.075620464,0.038134316,0.053465154,0.537699469,-1.045065703,0.981108488,0.316389075,-0.991467216,0.953892033,1.837006532,0.196478732
1.665001364,-1.500948754,-1.844715457,-1.418443768,-1.236159932,-0.438112451,-1.5742828,-1.055337547,-1.40166911,-1.436777364,-0.980668785,-1.551231081,-1.131847896,-1.823297705,-0.437695599,-1.475277391,-0.520605328,2,-2.949230463,-2.038006512,-6.543790674,-0.716667712,-0.082732412,0.641008522,0.34609612,-0.53715362,-0.582410588,1.889519359,-0.642269819,-0.336588757,1.064842895,-0.70946159,0.310916861,1.385625808,-1.212297268,-2.227769853,1,-1.539090959,-0.1544716,1.023872271,-1.253200848,-0.49496542,0.045586988,0.792757427,0.239884157,0.303392768,-0.629304868,0.594442207,0.374746262,-0.595262504,0.842287736,1.648630332,0.199572191
1.665768708,-1.513518949,-1.87079266,-1.378306904,-1.217990208,-0.473158966,-1.505373011,-0.964870702,-1.35515068,-1.397914142,-0.989541311,-1.539016036,-1.135120993,-1.843620084,-0.525516305,-1.465746589,-0.443144142,2,-2.797692025,-1.922324678,-6.538160907,-0.698173908,-0.082732412,0.567430316,0.34609612,-0.473217047,-0.571509953,1.889519359,-0.642269819,-0.313485594,1.064842895,-0.667152833,0.300035717,1.49964661,-1.9813286,-2.228002948,1,-1.538487384,0.061316257,1.023872271,-1.253200848,0.479987937,0.484409412,-0.631012115,0.203128397,-0.354794568,-0.483879925,0.787299027,0.457544639,-0.487816635,0.858071952,1.685906863,0.198173627
1.661931985,-1.530057963,-1.91954339,-1.351804522,-1.225702459,-0.541358632,-1.461072922,-0.915544816,-1.339685009,-1.35188817,-1.00389091,-1.539651143,-1.153094165,-1.889904774,-0.617695624,-1.462440402,-0.37043119,2,-2.637193359,-1.800611535,-6.53976055,-0.675835752,-0.082732412,0.628552709,0.34609612,-0.509622353,-0.602933688,1.889519359,-0.642269819,-0.312537798,1.064842895,-0.682661079,0.286892323,1.460210136,-2.419042803,-2.22827479,1,-1.537819943,0.560261403,1.023872271,-1.253200848,0.489290928,0.686301097,-1.704432051,0.169392476,-0.35084449,-0.477377593,0.417533297,0.716102854,-0.632666499,0.833175546,1.609013236,0.190752748
1.662699331,-1.552075821,-1.987945985,-1.341479634,-1.257005795,-0.639277757,-1.44233843,-0.909447067,-1.354715848,-1.30384666,-1.022713617,-1.553866306,-1.186371004,-1.958988027,-0.711471215,-1.466460826,-0.310868623,2,-2.462583235,-1.666744795,-6.54383151,-0.656370897,-0.082732412,0.586632696,0.34609612,-0.492268186,-0.571509953,1.889519359,-0.642269819,-0.289093491,1.064842895,-0.690068006,0.275439943,1.457213482,-2.680615313,-2.228533334,1,-1.537064143,0.923840511,1.023872271,-1.253200848,0.617672192,0.011382199,-2.080630268,-0.683323904,0.194594204,-0.349057235,0.788251668,0.134947283,-0.815583604,0.783130087,1.517266798,0.185173336
1.655025886,-1.581275172,-2.073060306,-1.35001591,-1.309704216,-0.76382319,-1.449927097,-0.948906793,-1.399707602,-1.258794162,-1.044871595,-1.582044994,-1.234796869,-2.047153654,-0.802439431,-1.479012992,-0.273462224,2,-2.271290215,-1.522866317,-6.518912268,-0.640474089,-0.082732412,0.593676431,0.31194886,-0.536164655,-0.599379431,1.889519359,-0.642269819,-0.393827129,1.064842895,-0.701146992,0.266086378,1.305028886,-2.763992118,-2.228914563,1,-1.536209553,1.003902341,1.023872271,-1.253200848,0.766520036,-0.869599701,-1.638435203,-0.710709533,-0.221281932,-0.662449498,1.041618815,-0.265571928,-1.123993041,0.732257635,1.442956672,0.182407511
1.641981031,-1.617393071,-2.168343828,-1.375258421,-1.377014378,-0.905949933,-1.47806502,-1.024715291,-1.466801867,-1.220038296,-1.068610696,-1.620818186,-1.294114699,-2.146223388,-0.886453688,-1.499055317,-0.260155866,2,-2.076112016,-1.389167645,-6.528595401,-0.631331466,-0.082732412,0.635195809,-0.658191996,0.212395734,0.204451869,1.889519359,-0.642269819,-0.299559414,1.064842895,-0.642992089,0.260707063,1.390886304,-2.571856383,-2.229156318,1,-1.535290819,1.042376909,1.023872271,-1.253200848,-0.065167282,-1.373494651,-0.669386906,-0.707775975,0.569970861,-0.155253216,1.203797076,-0.337372501,-0.896191142,0.666923961,1.338319944,0.176604645
1.635074932,-1.661979446,-2.268297719,-1.419582092,-1.455115054,-1.059402395,-1.525533001,-1.13531019,-1.552067963,-1.193287481,-1.092338387,-1.668543324,-1.361831302,-2.248462032,-0.955209057,-1.52732945,-0.278897916,2,-1.884132824,-1.259480153,-6.527463197,-0.642090736,-0.082732412,0.628552709,-0.592669734,0.755295159,0.820466436,1.889519359,-0.642269819,-0.295325534,1.064842895,-0.70539998,0.267037683,1.371299729,-1.370155142,-2.229309042,1,-1.53428906,1.05255322,1.023872271,-1.253200848,0.466963754,-1.762261284,-0.153584544,-0.636559533,0.487227907,-0.494180079,1.259438351,0.045646875,-0.792647628,0.616804713,1.161430459,0.21077189
1.6189607,-1.712756923,-2.365485017,-1.477324518,-1.53613303,-1.213627933,-1.583188798,-1.264099867,-1.643688689,-1.178791119,-1.114750946,-1.719571515,-1.432190575,-2.344794336,-1.006994772,-1.560958177,-0.322086298,2,-1.693295058,-1.132013554,-6.527725312,-0.658648416,-0.082732412,0.62054816,-0.733412913,0.924097407,0.993543826,1.889519359,-0.642269819,-0.311612744,1.064842895,-0.700790074,0.276779281,1.296666928,-0.620331245,-2.229604176,1,-1.533190188,1.06324148,1.127499806,-1.524078721,-0.219596918,-1.498634125,1.597790014,-0.640890845,-0.567025551,-0.810161766,1.225707813,0.512211484,-0.294225895,0.610384474,1.019755887,0.258385517
1.601311778,-1.769505935,-2.452493822,-1.547756196,-1.614384423,-1.360253613,-1.646663569,-1.402215727,-1.733019832,-1.180472392,-1.134656418,-1.769802961,-1.501776352,-2.425315819,-1.035322855,-1.599082012,-0.388461381,2,-1.499781755,-1.002311104,-6.522838218,-0.669644804,-0.082732412,0.612498549,-0.846559401,0.95138841,0.993543826,1.889519359,-0.642269819,-0.341594441,1.064842895,-0.686739673,0.283249757,1.311019482,-0.508045142,-2.230037622,1,-1.531952287,1.06324148,1.127499806,-1.524078721,-1.80110523,-1.092347963,2.12006147,-1.302753372,-0.698645131,-0.154548317,0.488434465,0.341826072,-1.150291521,0.602195626,1.203598547,0.176872839
1.603613811,-1.829682216,-2.526188322,-1.625283333,-1.685570162,-1.494494355,-1.710063877,-1.53798751,-1.812613419,-1.195806122,-1.152160679,-1.815576723,-1.56854149,-2.486684013,-1.043294502,-1.639213588,-0.466404108,2,-1.325941469,-0.886423449,-6.519839725,-0.677403248,-0.082732412,0.620802425,-0.841012012,0.955288803,0.993543826,1.889519359,-0.642269819,-0.35373786,1.064842895,-0.706917694,0.28781466,1.265984975,-0.380828285,-2.230507985,1,-1.530727537,1.06324148,1.127499806,-1.524078721,-0.029815918,-1.308422124,1.474793778,-1.525979904,-0.251332336,-0.274740759,-0.445241644,-0.527366514,-1.856818287,0.562778704,1.152915402,0.179321278
1.6189607,-1.891750456,-2.579918194,-1.706492915,-1.743603826,-1.608283366,-1.768551558,-1.660630881,-1.872972472,-1.226155538,-1.166967453,-1.852232093,-1.6310941,-2.520755008,-1.028484781,-1.679619158,-0.546923735,2,-1.155406902,-0.772970594,-6.509648322,-0.679755822,-0.082732412,0.647651623,-0.480691374,-0.126611072,-0.158128004,1.889519359,-0.642269819,-0.345155461,1.064842895,-0.673170166,0.289198869,1.312587983,-0.65562322,-2.230966085,1,-1.529409579,1.06324148,1.127499806,-1.524078721,1.025143156,-0.287284012,-0.095765473,-0.628776975,-0.132785279,-0.268813855,-0.451133903,-0.220687417,-1.727053416,0.586574863,1.191964658,0.187577407
1.635842276,-1.953137567,-2.614712132,-1.786287972,-1.78739426,-1.701316808,-1.819617851,-1.765247183,-1.912578092,-1.26692107,-1.179900118,-1.878734269,-1.690604514,-2.530574848,-0.997650126,-1.718440276,-0.6198105,2,-1.022180883,-0.666606808,-6.495456842,-0.672429103,0.245000532,0.647651623,-0.470939541,-0.240518386,-0.24608894,1.889519359,-0.642269819,-0.27246873,1.064842895,-0.672344839,0.284887852,1.629180766,-1.33302606,-2.231547142,1,-1.528065151,1.06324148,1.127499806,-1.524078721,1.627976912,1.125957784,-1.284152287,-0.225360937,0.678694895,-0.435069278,-0.357598698,-0.050594889,-1.213747206,0.637316361,1.264586519,0.1912275
1.647352442,-2.010768829,-2.625970872,-1.859476742,-1.811966344,-1.767501206,-1.859394567,-1.843590571,-1.925313553,-1.316738726,-1.191021675,-1.891531959,-1.748026555,-2.512970368,-0.952590701,-1.753607273,-0.674759282,2,-0.908963357,-0.569545096,-6.472106138,-0.676383711,2.82218492,0.647651623,-0.470939541,-0.239191293,-0.219309219,1.889519359,-0.642269819,-0.144703555,1.064842895,-0.70802586,0.287214935,1.854606382,-0.756531306,-2.232211195,1,-1.526726506,1.06324148,1.127499806,-1.524078721,0.855828737,2.19631742,-1.571764575,-0.468035235,0.773034682,-0.3791521,-0.146112459,0.031427345,-0.233438619,0.648882756,1.250503245,0.190481575
1.668838086,-2.06096276,-2.613532535,-1.921176006,-1.816171443,-1.806218084,-1.886406727,-1.893534097,-1.91190365,-1.371435293,-1.200414081,-1.890055067,-1.805448291,-2.471943047,-0.899155472,-1.783602861,-0.705494527,2,-0.801032166,-0.487524862,-6.123666654,-0.677763905,3.180336929,0.647651623,-0.470939541,-0.23951953,-0.24608894,1.889519359,-0.642269819,0.150576254,1.064842895,-0.646703804,0.288026692,1.875833709,-0.558672886,-2.231759351,1,-1.525382525,1.06324148,1.127499806,-1.524078721,-0.686607019,2.070343685,-0.865608225,0.276225768,0.525879047,0.56355657,-0.38086783,0.752098328,-0.450150426,0.679408769,1.290052764,0.195023521
1.690323729,-2.099573502,-2.575735882,-1.966837565,-1.798364859,-1.815969943,-1.89916846,-1.913333549,-1.873195505,-1.427671863,-1.207484005,-1.873616447,-1.864677374,-2.410532582,-0.84171039,-1.807141808,-0.707833812,2,-0.686253081,-0.428977612,-5.018748296,-0.676033017,0.387022175,0.647651623,-0.788614208,-0.239856398,-0.24608894,1.889519359,-0.642269819,0.489468814,1.064842895,-0.595127592,0.287008564,1.695291063,-0.700675168,-2.229070807,1,-1.524046724,1.06324148,1.127499806,-1.524078721,0.011117237,0.969950573,-1.477273957,1.052531581,0.96465073,1.105566223,-0.437355896,0.88372051,-0.557380354,0.69688792,1.342206142,0.203113105
1.69569514,-2.122730769,-2.512592326,-1.993394398,-1.759044513,-1.798054528,-1.897653758,-1.904838638,-1.813447649,-1.482042005,-1.211240636,-1.843269117,-1.927372281,-2.334098687,-0.784986131,-1.823801659,-0.681978685,2,-0.525000195,-0.395025841,-2.993043037,-0.677172109,-0.082732412,0.647651623,-0.797420661,-0.259401011,-0.24608894,1.889519359,-0.642269819,0.932468865,1.064842895,-0.583669091,0.287678532,1.582323661,-0.605330723,-2.222795008,1,-1.52255973,1.06324148,0.06283547,-0.052614457,-0.571249939,-0.787007646,-0.553629281,1.746611481,0.89954152,0.765114477,0.000188456,1.906823768,0.322623828,0.713055891,1.333960261,0.213842952
1.688021696,-2.125936395,-2.422920331,-1.997841499,-1.69841694,-1.753070833,-1.881789879,-1.869549561,-1.736903081,-1.531712009,-1.210241596,-1.800040782,-1.995128191,-2.24742715,-0.733537541,-1.83342208,-0.628880946,2,-0.335769068,-0.403970476,-1.856184685,-0.67928358,-0.082732412,0.647651623,-0.797420661,-0.232193446,-0.232367599,1.889519359,-0.642269819,1.653315355,1.064842895,-0.576195383,0.28892095,1.618616508,-0.30094062,-2.211595388,1,-1.521063634,1.06324148,0.06283547,-0.052614457,-0.651255656,-1.369323335,0.635713023,1.417431724,0.900197382,1.254040933,-0.252949352,1.20893918,0.408938368,0.70540575,1.364942124,0.216815936
1.682650285,-2.107932108,-2.309847652,-1.981527874,-1.620861432,-1.68631246,-1.854450304,-1.813779144,-1.651240474,-1.5750724,-1.203707389,-1.747601501,-2.068599496,-2.157200643,-0.691393676,-1.837516018,-0.555180954,2,-0.229370828,-0.447794422,-1.852877531,-0.675179529,-0.082732412,-0.660457932,-0.783262041,-0.182106133,-0.202317208,1.889519359,-0.642269819,2.342460777,1.064842895,-0.542403218,0.286691021,1.492058913,-0.445104891,-2.194915294,1,-1.519615622,1.06324148,0.06283547,-0.052614457,0.740471663,-1.368489071,0.183119773,1.549286543,1.399144403,1.277432065,-0.209427784,0.789353205,0.592441597,0.745249258,1.514545285,0.235817096
1.666536053,-2.067834542,-2.175982044,-1.946130465,-1.530491694,-1.602215859,-1.818427399,-1.742766189,-1.563028689,-1.611120122,-1.191057814,-1.689328435,-2.148150418,-2.068947363,-0.662177035,-1.837765523,-0.467054552,2,-0.209465725,-0.509404784,-1.835553349,-0.670550764,-0.082732412,-1.619888027,-0.783262041,-0.219736731,-0.226752321,1.889519359,-0.642269819,2.901255732,1.064842895,-0.49928752,0.284934876,1.446291663,-0.441462615,-2.174344943,1,-1.518247088,1.06324148,0.399780091,1.390323253,1.858691067,-0.553413962,-0.707552914,1.686093898,1.830686698,0.777817041,0.052760111,2.413015616,1.716489496,0.921828076,1.793380004,0.259082228
1.646585098,-2.005292959,-2.025165038,-1.894488816,-1.433129923,-1.5072067,-1.777666821,-1.663337384,-1.480700547,-1.638882728,-1.171850874,-1.629915993,-2.23365487,-1.989537454,-0.650496855,-1.83681373,-0.37324614,2,-0.229070865,-0.572125394,-1.816952597,-0.66601233,-0.082732412,-2.578426866,-0.783262041,-0.22762212,-0.24608894,1.889519359,-0.642269819,3.208328927,1.064842895,-0.453679154,0.28330275,1.270138221,-0.437036279,-2.152489823,1,-1.517016792,1.06324148,0.399780091,1.390323253,-0.334953992,0.952431048,-0.170020281,1.98690442,1.447275731,1.090072835,0.520683117,2.554361554,2.173188423,1.081777173,2.015709897,0.280750315
1.639678998,-1.926368516,-1.865222347,-1.833119285,-1.335263853,-1.410028856,-1.736480938,-1.583123648,-1.409357048,-1.65974572,-1.14760378,-1.573498159,-2.322850551,-1.921953363,-0.655260281,-1.837179228,-0.282486097,2,-0.269478096,-0.637202848,-1.796268308,-0.659598213,-0.082732412,-3.266026049,-0.783262041,-0.224653052,-0.24608894,1.889519359,-0.642269819,3.440310289,1.064842895,-0.393644302,0.280684161,1.217581732,-0.518013862,-2.128334208,1,-1.5157809,1.06324148,0.399780091,1.390323253,-0.039118909,0.781407097,-1.135567775,1.676792793,0.722950674,0.911071691,0.850984823,1.712949039,2.118293239,1.21688525,2.213560807,0.295894026
1.622030077,-1.83506141,-1.703089109,-1.766438608,-1.242854215,-1.320304614,-1.698624642,-1.509635609,-1.355801834,-1.673680477,-1.119101648,-1.524634832,-2.413049121,-1.870873249,-0.677527306,-1.841313173,-0.204006831,2,-0.327770101,-0.702018336,-1.772282702,-0.651825821,-0.082732412,-4.836227841,-0.783262041,-0.210314475,-0.237652763,1.889519359,-0.642269819,3.454346992,1.064842895,-0.317353349,0.277450297,0.990948512,-0.594115748,-2.100479912,0,-1.514436576,1.06324148,1.074600121,0.00394417,0.669768937,0.488580728,-1.041926052,0.895862311,0.523017104,1.327796367,0.546951303,1.53461182,2.366455252,1.167688659,2.105291165,0.292313033
1.622797422,-1.73908527,-1.546702429,-1.699325581,-1.159424704,-1.246423928,-1.666081317,-1.448288135,-1.321758177,-1.682041857,-1.088261457,-1.485514335,-2.500341325,-1.836169347,-0.713080375,-1.850018321,-0.143165817,2,-0.391463104,-0.751447611,-1.748684252,-0.643585836,-0.082732412,-4.883559932,-0.783262041,-0.217117445,-0.24608894,1.889519359,-0.642269819,3.352599199,1.064842895,-0.233373632,0.273919931,1.008986985,-0.607825392,-2.073223953,0,-1.513116886,1.06324148,1.074600121,0.00394417,0.055771591,0.461050043,-0.079161215,1.654463237,0.729166458,1.257450341,0.238366277,0.711856032,1.080637001,1.153723712,2.033570806,0.302147294
1.632005554,-1.646311817,-1.404848903,-1.635374306,-1.087615519,-1.19791035,-1.639931914,-1.404578917,-1.309509405,-1.685317737,-1.056865118,-1.458340238,-2.579685606,-1.818132068,-0.757923405,-1.863405061,-0.105420664,2,-0.450314349,-0.790762554,-1.727275566,-0.634650441,-0.082732412,-4.097459706,-0.783262041,-0.210479082,-0.24608894,1.889519359,-0.642269819,3.260125117,1.064842895,-0.148980273,0.269857946,1.148140875,-0.611310235,-2.048511751,0,-1.511880302,1.06324148,1.074600121,0.00394417,-0.178663757,0.421839676,-0.592426818,1.508458313,0.134225088,1.252127636,-0.138156145,0.871565813,1.496523156,1.151423734,1.985081706,0.321960412
1.629703521,-1.562673787,-1.281936931,-1.575933433,-1.026042136,-1.176590446,-1.618832596,-1.378570594,-1.315776894,-1.684653625,-1.026503606,-1.441952377,-2.648113881,-1.813120658,-0.806679295,-1.879838139,-0.089669016,2,-0.506691186,-0.831645799,-1.705870124,-0.623819437,-0.082732412,-2.934640323,0.407256611,-0.203508575,-0.24608894,1.889519359,-0.642269819,3.272924226,1.064842895,-0.138368887,0.264680854,1.380835412,-0.608371232,-2.023714238,0,-1.510603933,1.06324148,1.074600121,0.00394417,1.315396447,0.078957517,-1.085305465,0.954033047,0.102177285,2.153347975,-0.161072447,0.859938309,1.404285674,1.187692137,1.993231853,0.344324981
1.628936177,-1.498615944,-1.1903109,-1.522920062,-0.974958915,-1.192143793,-1.601631772,-1.375051924,-1.341970047,-1.679601619,-0.999568268,-1.438051848,-2.697566863,-1.820775165,-0.854360752,-1.897220331,-0.101505009,2,-0.558455361,-0.873592681,-1.684903313,-0.611954284,-0.082732412,-2.840193287,-0.394126237,-0.211705225,-0.24608894,1.889519359,-0.642269819,3.280459064,1.064842895,-0.28659747,0.258870678,1.443022532,-0.836961646,-1.999344409,0,-1.509344945,1.06324148,1.295351593,0.120262293,0.734889865,0.355098622,-0.783265349,0.349927107,-0.824540824,2.528915191,-0.358727754,0.513646617,0.757697847,1.196356219,1.984026484,0.360506671
